image_path,label,label_index,crop,disease,dataset,split
C:\Users\Dell\Downloads\hackaton\main\crop_disease_platform\backend\data\processed\unified_dataset\train\Apple_leaf\plantdoc_Apple leaf (61).jpg,Apple___Leaf,4,Apple,Leaf,unified_dataset_smoke,train
C:\Users\Dell\Downloads\hackaton\main\crop_disease_platform\backend\data\processed\unified_dataset\train\Apple_leaf\plantdoc_Apple leaf (23).jpg,Apple___Leaf,4,Apple,Leaf,unified_dataset_smoke,train
C:\Users\Dell\Downloads\hackaton\main\crop_disease_platform\backend\data\processed\unified_dataset\train\Apple_leaf\plantdoc_Apple leaf (54).jpg,Apple___Leaf,4,Apple,Leaf,unified_dataset_smoke,train
C:\Users\Dell\Downloads\hackaton\main\crop_disease_platform\backend\data\processed\unified_dataset\train\Apple_leaf\plantdoc_Apple leaf (57).jpg,Apple___Leaf,4,Apple,Leaf,unified_dataset_smoke,train
C:\Users\Dell\Downloads\hackaton\main\crop_disease_platform\backend\data\processed\unified_dataset\train\Apple_leaf\plantdoc_Apple leaf (39).jpg,Apple___Leaf,4,Apple,Leaf,unified_dataset_smoke,train
C:\Users\Dell\Downloads\hackaton\main\crop_disease_platform\backend\data\processed\unified_dataset\train\Apple_leaf\plantdoc_Apple leaf (20).jpg,Apple___Leaf,4,Apple,Leaf,unified_dataset_smoke,train
C:\Users\Dell\Downloads\hackaton\main\crop_disease_platform\backend\data\processed\unified_dataset\train\Apple_leaf\plantdoc_Apple leaf (58).jpg,Apple___Leaf,4,Apple,Leaf,unified_dataset_smoke,train
C:\Users\Dell\Downloads\hackaton\main\crop_disease_platform\backend\data\processed\unified_dataset\train\Apple_leaf\plantdoc_Apple leaf (17).jpg,Apple___Leaf,4,Apple,Leaf,unified_dataset_smoke,train
C:\Users\Dell\Downloads\hackaton\main\crop_disease_platform\backend\data\processed\unified_dataset\train\Apple_leaf\plantdoc_Apple leaf (67).jpg,Apple___Leaf,4,Apple,Leaf,unified_dataset_smoke,train
C:\Users\Dell\Downloads\hackaton\main\crop_disease_platform\backend\data\processed\unified_dataset\train\Apple_leaf\plantdoc_Apple leaf (37).jpg,Apple___Leaf,4,Apple,Leaf,unified_dataset_smoke,train
C:\Users\Dell\Downloads\hackaton\main\crop_disease_platform\backend\data\processed\unified_dataset\train\Apple_leaf\plantdoc_Apple leaf (8).jpg,Apple___Leaf,4,Apple,Leaf,unified_dataset_smoke,train
C:\Users\Dell\Downloads\hackaton\main\crop_disease_platform\backend\data\processed\unified_dataset\train\Apple_leaf\plantdoc_Apple leaf (55).jpg,Apple___Leaf,4,Apple,Leaf,unified_dataset_smoke,train
C:\Users\Dell\Downloads\hackaton\main\crop_disease_platform\backend\data\processed\unified_dataset\train\Apple_rust_leaf\plantdoc_Apple rust leaf (5).jpg,Apple___Rust_Leaf,5,Apple,Rust_Leaf,unified_dataset_smoke,train
C:\Users\Dell\Downloads\hackaton\main\crop_disease_platform\backend\data\processed\unified_dataset\train\Apple_rust_leaf\plantdoc_Apple rust leaf (54).jpg,Apple___Rust_Leaf,5,Apple,Rust_Leaf,unified_dataset_smoke,train
C:\Users\Dell\Downloads\hackaton\main\crop_disease_platform\backend\data\processed\unified_dataset\train\Apple_rust_leaf\plantdoc_Apple rust leaf (44).jpg,Apple___Rust_Leaf,5,Apple,Rust_Leaf,unified_dataset_smoke,train
C:\Users\Dell\Downloads\hackaton\main\crop_disease_platform\backend\data\processed\unified_dataset\train\Apple_rust_leaf\plantdoc_Apple rust leaf (26).jpg,Apple___Rust_Leaf,5,Apple,Rust_Leaf,unified_dataset_smoke,train
C:\Users\Dell\Downloads\hackaton\main\crop_disease_platform\backend\data\processed\unified_dataset\train\Apple_rust_leaf\plantdoc_Apple rust leaf (15).jpg,Apple___Rust_Leaf,5,Apple,Rust_Leaf,unified_dataset_smoke,train
C:\Users\Dell\Downloads\hackaton\main\crop_disease_platform\backend\data\processed\unified_dataset\train\Apple_rust_leaf\plantdoc_Apple rust leaf (69).jpg,Apple___Rust_Leaf,5,Apple,Rust_Leaf,unified_dataset_smoke,train
C:\Users\Dell\Downloads\hackaton\main\crop_disease_platform\backend\data\processed\unified_dataset\train\Apple_rust_leaf\plantdoc_Apple rust leaf (51).jpg,Apple___Rust_Leaf,5,Apple,Rust_Leaf,unified_dataset_smoke,train
C:\Users\Dell\Downloads\hackaton\main\crop_disease_platform\backend\data\processed\unified_dataset\train\Apple_rust_leaf\plantdoc_Apple rust leaf (2).jpg,Apple___Rust_Leaf,5,Apple,Rust_Leaf,unified_dataset_smoke,train
C:\Users\Dell\Downloads\hackaton\main\crop_disease_platform\backend\data\processed\unified_dataset\train\Apple_rust_leaf\plantdoc_Apple rust leaf (10).jpg,Apple___Rust_Leaf,5,Apple,Rust_Leaf,unified_dataset_smoke,train
C:\Users\Dell\Downloads\hackaton\main\crop_disease_platform\backend\data\processed\unified_dataset\train\Apple_rust_leaf\plantdoc_Apple rust leaf (75).jpg,Apple___Rust_Leaf,5,Apple,Rust_Leaf,unified_dataset_smoke,train
C:\Users\Dell\Downloads\hackaton\main\crop_disease_platform\backend\data\processed\unified_dataset\train\Apple_rust_leaf\plantdoc_Apple rust leaf (55).jpg,Apple___Rust_Leaf,5,Apple,Rust_Leaf,unified_dataset_smoke,train
C:\Users\Dell\Downloads\hackaton\main\crop_disease_platform\backend\data\processed\unified_dataset\train\Apple_rust_leaf\plantdoc_Apple rust leaf (37).jpg,Apple___Rust_Leaf,5,Apple,Rust_Leaf,unified_dataset_smoke,train
C:\Users\Dell\Downloads\hackaton\main\crop_disease_platform\backend\data\processed\unified_dataset\train\Apple_Scab_Leaf\plantdoc_Apple Scab Leaf (5).jpg,Apple___Scab_Leaf,6,Apple,Scab_Leaf,unified_dataset_smoke,train
C:\Users\Dell\Downloads\hackaton\main\crop_disease_platform\backend\data\processed\unified_dataset\train\Apple_Scab_Leaf\plantdoc_Apple Scab Leaf (15).jpg,Apple___Scab_Leaf,6,Apple,Scab_Leaf,unified_dataset_smoke,train
C:\Users\Dell\Downloads\hackaton\main\crop_disease_platform\backend\data\processed\unified_dataset\train\Apple_Scab_Leaf\plantdoc_Apple Scab Leaf (18).jpg,Apple___Scab_Leaf,6,Apple,Scab_Leaf,unified_dataset_smoke,train
C:\Users\Dell\Downloads\hackaton\main\crop_disease_platform\backend\data\processed\unified_dataset\train\Apple_Scab_Leaf\plantdoc_Apple Scab Leaf (43).jpg,Apple___Scab_Leaf,6,Apple,Scab_Leaf,unified_dataset_smoke,train
C:\Users\Dell\Downloads\hackaton\main\crop_disease_platform\backend\data\processed\unified_dataset\train\Apple_Scab_Leaf\plantdoc_Apple Scab Leaf (62).jpg,Apple___Scab_Leaf,6,Apple,Scab_Leaf,unified_dataset_smoke,train
